year,round,driver_id,driver_number,position,points,status
2023,1,max_verstappen,1,1,25,Finished
2023,1,perez,11,2,18,Finished
2023,1,alonso,14,3,15,Finished
2023,1,sainz,55,4,12,Finished
2023,1,hamilton,44,5,10,Finished
2023,1,stroll,18,6,8,Finished
2023,1,russell,63,7,6,Finished
2023,1,bottas,77,8,4,Finished
2023,1,gasly,10,9,2,Finished
2023,1,albon,23,10,1,Finished
2023,1,tsunoda,22,11,0,Finished
2023,1,sargeant,2,12,0,+1 Lap
2023,1,kevin_magnussen,20,13,0,+1 Lap
2023,1,de_vries,21,14,0,+1 Lap
2023,1,hulkenberg,27,15,0,+1 Lap
2023,1,zhou,24,16,0,+1 Lap
2023,1,norris,4,17,0,+2 Laps
2023,1,ocon,31,18,0,Mechanical
2023,1,leclerc,16,19,0,Engine
2023,1,piastri,81,20,0,Electrical
2023,2,perez,11,1,25,Finished
2023,2,max_verstappen,1,2,19,Finished
2023,2,alonso,14,3,15,Finished
2023,2,russell,63,4,12,Finished
2023,2,hamilton,44,5,10,Finished
2023,2,sainz,55,6,8,Finished
2023,2,leclerc,16,7,6,Finished
2023,2,ocon,31,8,4,Finished
2023,2,gasly,10,9,2,Finished
2023,2,kevin_magnussen,20,10,1,Finished
2023,2,tsunoda,22,11,0,Finished
2023,2,hulkenberg,27,12,0,Finished
2023,2,zhou,24,13,0,Finished
2023,2,de_vries,21,14,0,Finished
2023,2,piastri,81,15,0,Finished
2023,2,sargeant,2,16,0,Finished
2023,2,norris,4,17,0,Finished
2023,2,bottas,77,18,0,+1 Lap
2023,2,albon,23,19,0,Brakes
2023,2,stroll,18,20,0,Engine
2023,3,max_verstappen,1,1,25,Finished
2023,3,hamilton,44,2,18,Finished
2023,3,alonso,14,3,15,Finished
2023,3,stroll,18,4,12,Finished
2023,3,perez,11,5,11,Finished
2023,3,norris,4,6,8,Finished
2023,3,hulkenberg,27,7,6,Finished
2023,3,piastri,81,8,4,Finished
2023,3,zhou,24,9,2,Finished
2023,3,tsunoda,22,10,1,Finished
2023,3,bottas,77,11,0,Finished
2023,3,sainz,55,12,0,Finished
2023,3,gasly,10,13,0,Collision
2023,3,ocon,31,14,0,Collision
2023,3,de_vries,21,15,0,Collision
2023,3,sargeant,2,16,0,Collision
2023,3,kevin_magnussen,20,17,0,Accident
2023,3,russell,63,18,0,Engine
2023,3,albon,23,19,0,Accident
2023,3,leclerc,16,20,0,Collision
2023,4,perez,11,1,25,Finished
2023,4,max_verstappen,1,2,18,Finished
2023,4,leclerc,16,3,15,Finished
2023,4,alonso,14,4,12,Finished
2023,4,sainz,55,5,10,Finished
2023,4,hamilton,44,6,8,Finished
2023,4,stroll,18,7,6,Finished
2023,4,russell,63,8,5,Finished
2023,4,norris,4,9,2,Finished
2023,4,tsunoda,22,10,1,Finished
2023,4,piastri,81,11,0,Finished
2023,4,albon,23,12,0,Finished
2023,4,kevin_magnussen,20,13,0,Finished
2023,4,gasly,10,14,0,Finished
2023,4,ocon,31,15,0,Finished
2023,4,sargeant,2,16,0,Finished
2023,4,hulkenberg,27,17,0,+1 Lap
2023,4,bottas,77,18,0,+1 Lap
2023,4,zhou,24,19,0,Overheating
2023,4,de_vries,21,20,0,Accident
2023,5,max_verstappen,1,1,26,Finished
2023,5,perez,11,2,18,Finished
2023,5,alonso,14,3,15,Finished
2023,5,russell,63,4,12,Finished
2023,5,sainz,55,5,10,Finished
2023,5,hamilton,44,6,8,Finished
2023,5,leclerc,16,7,6,Finished
2023,5,gasly,10,8,4,Finished
2023,5,ocon,31,9,2,Finished
2023,5,kevin_magnussen,20,10,1,Finished
2023,5,tsunoda,22,11,0,Finished
2023,5,stroll,18,12,0,Finished
2023,5,bottas,77,13,0,Finished
2023,5,albon,23,14,0,Finished
2023,5,hulkenberg,27,15,0,Finished
2023,5,zhou,24,16,0,Finished
2023,5,norris,4,17,0,Finished
2023,5,de_vries,21,18,0,Finished
2023,5,piastri,81,19,0,+1 Lap
2023,5,sargeant,2,20,0,+1 Lap
2023,6,max_verstappen,1,1,25,Finished
2023,6,alonso,14,2,18,Finished
2023,6,ocon,31,3,15,Finished
2023,6,hamilton,44,4,13,Finished
2023,6,russell,63,5,10,Finished
2023,6,leclerc,16,6,8,Finished
2023,6,gasly,10,7,6,Finished
2023,6,sainz,55,8,4,Finished
2023,6,norris,4,9,2,+1 Lap
2023,6,piastri,81,10,1,+1 Lap
2023,6,bottas,77,11,0,+1 Lap
2023,6,de_vries,21,12,0,+1 Lap
2023,6,zhou,24,13,0,+1 Lap
2023,6,albon,23,14,0,+1 Lap
2023,6,tsunoda,22,15,0,+2 Laps
2023,6,perez,11,16,0,+2 Laps
2023,6,hulkenberg,27,17,0,+2 Laps
2023,6,sargeant,2,18,0,+2 Laps
2023,6,kevin_magnussen,20,19,0,Collision damage
2023,6,stroll,18,20,0,Accident
2023,7,max_verstappen,1,1,26,Finished
2023,7,hamilton,44,2,18,Finished
2023,7,russell,63,3,15,Finished
2023,7,perez,11,4,12,Finished
2023,7,sainz,55,5,10,Finished
2023,7,stroll,18,6,8,Finished
2023,7,alonso,14,7,6,Finished
2023,7,ocon,31,8,4,Finished
2023,7,zhou,24,9,2,Finished
2023,7,gasly,10,10,1,Finished
2023,7,leclerc,16,11,0,Finished
2023,7,tsunoda,22,12,0,Finished
2023,7,piastri,81,13,0,+1 Lap
2023,7,de_vries,21,14,0,+1 Lap
2023,7,hulkenberg,27,15,0,+1 Lap
2023,7,albon,23,16,0,+1 Lap
2023,7,norris,4,17,0,+1 Lap
2023,7,kevin_magnussen,20,18,0,+1 Lap
2023,7,bottas,77,19,0,+1 Lap
2023,7,sargeant,2,20,0,+1 Lap
2023,8,max_verstappen,1,1,25,Finished
2023,8,alonso,14,2,18,Finished
