date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-02-27T07:00:03.119000+00:00,27,,47.785,25.753,206,235,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]",9684,175
2025-02-27T07:00:07.073000+00:00,63,,44.678,33.577,230,232,True,,1,1253,"[2064, 2064, 2064, 2049, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",9684,147
2025-02-27T07:01:06.777000+00:00,10,,58.498,30.834,174,221,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,192
2025-02-27T07:02:02.250000+00:00,14,,51.368,27.484,197,189,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,185
2025-02-27T07:02:25.952000+00:00,81,,50.222,31.709,199,199,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,136
2025-02-27T07:04:07.471000+00:00,31,,53.079,27.584,204,206,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,153
2025-02-27T07:04:17.569000+00:00,30,,47.063,33.383,211,248,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,152
2025-02-27T07:05:53.456000+00:00,44,,54.183,26.785,196,200,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,200
2025-02-27T07:06:22.787000+00:00,22,,51.445,28.354,220,140,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,171
2025-02-27T07:07:09.499000+00:00,55,,46.511,28.888,218,244,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,161
2025-02-27T12:03:33.074000+00:00,6,,55.171,32.183,190,188,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,200
2025-02-27T12:13:18.771000+00:00,16,,44.862,24.063,216,245,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,206
2025-02-27T12:13:51.367000+00:00,87,,43.147,24.263,214,245,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,201
2025-02-27T12:14:56.928000+00:00,12,,46.769,24.516,197,208,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,205
2025-02-27T12:17:17.264000+00:00,7,,45.664,30.811,225,200,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,133
2025-02-27T12:33:38.938000+00:00,5,,44.52,27.395,219,238,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,186
2025-02-27T12:38:29.696000+00:00,18,,46.998,25.214,229,244,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,204
2025-02-27T12:56:13.283000+00:00,4,,44.774,28.556,185,239,True,,1,1253,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,211
2025-02-27T07:01:53.364000+00:00,27,31.963,43.138,23.971,232,256,False,99.072,2,1253,"[2051, 2051, 2051, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2051, 0]",9684,293
2025-02-27T07:02:01.974000+00:00,63,31.521,41.863,23.839,233,255,False,97.223,2,1253,"[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2049, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2049, 2049, 2051, 2051, 2051]","[2049, 2051, 2051, 2051, 2049, 2051, 0]",9684,286
2025-02-27T07:03:58.373000+00:00,14,36.171,49.968,30.288,199,197,False,116.427,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2064]",9684,235
2025-02-27T07:04:54.289000+00:00,81,64.398,48.147,31.058,198,200,True,143.603,2,1253,"[None, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,139
2025-02-27T07:06:05.976000+00:00,31,33.702,44.716,24.852,227,240,False,103.27,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,282
