meeting_key,session_key,date,country,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
1140,9222,2023-02-23T16:42:57.040000+00:00,Bahrain,23.2,38.0,1009.0,0,25.8,121,1.0
1140,7763,2023-02-24T16:30:00.705000+00:00,Bahrain,23.3,47.0,1011.0,0,27.1,24,0.8
1140,7764,2023-02-25T16:30:06.143000+00:00,Bahrain,24.0,51.0,1013.7,0,27.8,336,1.6
1141,7765,2023-03-03T12:38:36.953000+00:00,Bahrain,26.3,13.0,1017.5,0,38.0,1,2.5
1141,7766,2023-03-03T16:09:37.586000+00:00,Bahrain,22.1,29.0,1019.0,0,25.8,330,0.8
1141,7767,2023-03-04T12:40:41.823000+00:00,Bahrain,27.6,15.0,1017.2,0,38.8,333,1.7
1141,7768,2023-03-04T16:19:42.631000+00:00,Bahrain,23.1,34.0,1017.7,0,26.7,335,1.2
1141,7953,2023-03-05T16:41:47.909000+00:00,Bahrain,26.2,21.0,1017.5,0,28.7,215,0.3
1142,7772,2023-03-17T14:36:50.444000+00:00,Saudi Arabia,26.4,58.0,1009.0,0,39.5,327,4.1
1142,7773,2023-03-17T18:07:51.145000+00:00,Saudi Arabia,26.3,51.0,1010.0,0,30.4,321,1.6
1142,7774,2023-03-18T14:36:55.098000+00:00,Saudi Arabia,26.9,57.0,1009.0,0,37.0,316,3.5
1142,7775,2023-03-18T18:04:55.657000+00:00,Saudi Arabia,26.8,45.0,1010.9,0,30.9,302,1.8
1142,7779,2023-03-19T18:29:00.468000+00:00,Saudi Arabia,25.8,60.0,1011.2,0,30.1,315,0.8
1143,7780,2023-03-31T02:28:30.479000+00:00,Australia,18.7,57.0,1012.2,0,36.2,261,0.8
1143,7781,2023-03-31T06:06:31.161000+00:00,Australia,15.1,79.0,1013.0,0,20.3,146,1.2
1143,7782,2023-04-01T02:39:45.865000+00:00,Australia,14.0,64.0,1019.5,1,20.5,155,0.6
1143,7783,2023-04-01T06:19:46.515000+00:00,Australia,14.8,57.0,1019.2,0,21.4,0,1.7
1143,7787,2023-04-02T07:42:38.058000+00:00,Australia,16.9,57.0,1018.4,0,23.7,169,2.5
1207,9063,2023-04-28T10:38:01.695000+00:00,Azerbaijan,20.5,77.0,1012.5,0,44.3,0,1.2
1207,9064,2023-04-28T14:31:02.490000+00:00,Azerbaijan,19.3,82.0,1011.5,0,28.8,347,0.6
1207,9278,2023-04-29T09:22:06.570000+00:00,Azerbaijan,23.2,63.0,1010.7,0,49.7,63,0.6
1207,9069,2023-04-29T14:10:07.436000+00:00,Azerbaijan,21.9,65.0,1008.7,0,32.4,225,1.7
1207,9070,2023-04-30T12:40:12.061000+00:00,Azerbaijan,24.6,51.0,1009.2,0,34.5,24,0.6
1208,9071,2023-05-05T19:06:30.880000+00:00,United States,29.6,46.0,1017.2,0,49.4,136,2.5
1208,9072,2023-05-05T22:36:31.534000+00:00,United States,27.6,58.0,1016.5,0,35.8,151,1.3
1208,9073,2023-05-06T17:36:36.072000+00:00,United States,29.0,55.0,1018.5,0,47.6,135,4.0
1208,9074,2023-05-06T21:11:36.734000+00:00,United States,28.2,58.0,1017.4,0,40.2,134,2.9
1208,9078,2023-05-07T21:05:25.371000+00:00,United States,27.1,57.0,1017.7,0,34.1,113,1.3
1210,9087,2023-05-26T12:28:35.171000+00:00,Monaco,26.6,35.0,1018.2,0,46.8,0,1.0
1210,9088,2023-05-26T16:05:35.664000+00:00,Monaco,26.7,33.0,1017.0,0,40.1,327,0.5
1210,9089,2023-05-27T11:28:38.540000+00:00,Monaco,27.6,33.0,1017.2,0,46.5,166,0.5
1210,9090,2023-05-27T15:12:38.995000+00:00,Monaco,24.7,34.0,1016.0,0,43.9,282,0.6
1210,9094,2023-05-28T14:56:44.086000+00:00,Monaco,23.9,55.0,1012.7,0,30.6,123,0.8
1211,9095,2023-06-02T12:36:25.815000+00:00,Spain,23.7,55.0,999.2,0,36.7,241,1.2
1211,9096,2023-06-02T16:06:25.968000+00:00,Spain,22.1,61.0,998.4,0,30.5,178,0.5
1211,9097,2023-06-03T11:36:26.692000+00:00,Spain,19.7,81.0,1001.4,1,0.0,230,0.8
1211,9098,2023-06-03T15:12:26.866000+00:00,Spain,21.5,68.0,1000.5,0,26.4,0,1.2
1211,9102,2023-06-04T14:34:27.839000+00:00,Spain,21.5,68.0,1001.2,0,27.3,62,2.5
1212,9103,2023-06-16T18:19:48.473000+00:00,Canada,21.5,65.0,1004.0,0,37.3,160,0.8
1212,9104,2023-06-16T22:01:49.493000+00:00,Canada,17.6,76.0,1003.5,1,27.2,354,2.4
1212,9105,2023-06-17T17:29:53.628000+00:00,Canada,15.1,90.0,1004.7,1,17.4,329,2.2
1212,9106,2023-06-17T21:13:54.780000+00:00,Canada,15.9,92.0,1005.2,1,17.9,333,3.2
1212,9110,2023-06-18T19:43:00.190000+00:00,Canada,18.9,63.0,1012.2,0,28.6,340,2.0
1213,9112,2023-06-30T16:09:59.708000+00:00,Austria,25.9,46.0,930.7,0,37.6,111,1.2
1213,9282,2023-07-01T10:47:03.702000+00:00,Austria,17.6,79.0,932.5,0,23.9,26,0.4
1213,9117,2023-07-01T15:28:04.787000+00:00,Austria,16.4,85.0,932.5,0,20.8,202,0.3
1213,9118,2023-07-02T14:33:10.879000+00:00,Austria,22.6,53.0,933.9,0,31.1,5,1.2
1214,9119,2023-07-07T12:36:01.437000+00:00,Great Britain,24.7,39.0,998.5,0,41.9,245,2.2
1214,9120,2023-07-07T16:12:02.165000+00:00,Great Britain,27.2,31.0,997.0,0,37.8,232,3.2
1214,9121,2023-07-08T11:36:07.083000+00:00,Great Britain,19.5,80.0,999.5,1,21.3,202,3.5
1214,9122,2023-07-08T15:18:07.870000+00:00,Great Britain,22.7,70.0,998.7,0,26.9,201,3.2
1214,9126,2023-07-09T15:31:13.800000+00:00,Great Britain,21.8,53.0,1001.0,0,29.3,192,4.1
1215,9223,2023-07-21T13:42:42.811000+00:00,Hungary,22.9,59.0,984.9,0,27.9,130,0.8
1215,9127,2023-07-21T16:06:43.354000+00:00,Hungary,22.9,51.0,982.2,0,30.8,106,2.0
1215,9128,2023-07-22T11:36:48.117000+00:00,Hungary,25.1,42.0,988.0,0,46.8,259,1.8
1215,9129,2023-07-22T15:03:48.852000+00:00,Hungary,26.3,34.0,987.0,0,42.4,263,1.2
1215,9133,2023-07-23T14:44:54.015000+00:00,Hungary,29.3,32.0,987.7,0,45.7,253,1.0
1216,9134,2023-07-28T12:42:12.361000+00:00,Belgium,18.0,95.0,961.7,1,21.8,113,0.6
1216,9135,2023-07-28T16:19:13.601000+00:00,Belgium,20.0,86.0,961.5,0,22.7,4,1.3
1216,9286,2023-07-29T11:27:18.708000+00:00,Belgium,18.4,86.0,961.7,0,24.9,154,1.3
1216,9140,2023-07-29T16:19:19.809000+00:00,Belgium,19.7,83.0,961.5,0,26.0,162,0.8
1216,9141,2023-07-30T14:30:25.134000+00:00,Belgium,18.5,61.0,966.7,0,27.7,0,2.0
1217,9142,2023-08-25T11:35:35.514000+00:00,Netherlands,20.9,76.0,1007.5,0,35.1,54,2.5
1217,9143,2023-08-25T15:05:36.288000+00:00,Netherlands,20.2,70.0,1007.7,0,33.1,76,1.2
1217,9144,2023-08-26T10:36:40.843000+00:00,Netherlands,16.5,78.0,1009.0,0,17.9,199,3.4
1217,9145,2023-08-26T14:27:41.591000+00:00,Netherlands,19.1,71.0,1009.2,0,23.7,204,2.7
1217,9149,2023-08-27T15:29:47.536000+00:00,Netherlands,15.6,73.0,1008.2,0,18.9,164,2.9
1218,9150,2023-09-01T12:37:26.141000+00:00,Italy,25.5,50.0,997.4,0,37.6,243,1.0
1218,9151,2023-09-01T16:06:27.060000+00:00,Italy,27.1,43.0,996.5,0,35.8,149,1.6
1218,9152,2023-09-02T11:35:31.847000+00:00,Italy,27.4,45.0,999.7,0,42.5,135,0.8
1218,9153,2023-09-02T15:03:32.417000+00:00,Italy,28.0,41.0,999.0,0,39.2,143,1.6
1218,9157,2023-09-03T14:43:37.653000+00:00,Italy,29.9,42.0,1000.2,0,39.3,260,1.1
1219,9158,2023-09-15T10:36:12.274000+00:00,Singapore,31.0,65.0,1008.4,0,41.3,173,2.0
1219,9159,2023-09-15T14:07:12.910000+00:00,Singapore,30.1,69.0,1010.7,0,35.8,184,1.5
1219,9160,2023-09-16T10:36:17.822000+00:00,Singapore,30.7,72.0,1007.7,0,36.9,195,2.4
1219,9161,2023-09-16T14:34:18.803000+00:00,Singapore,29.4,78.0,1010.0,0,33.5,201,1.2
1219,9165,2023-09-17T13:56:24.534000+00:00,Singapore,29.4,77.0,1010.2,0,35.0,171,0.6
1220,9166,2023-09-22T03:37:11.690000+00:00,Japan,27.9,67.0,1007.0,1,37.8,289,1.6
1220,9167,2023-09-22T07:00:12.492000+00:00,Japan,27.6,65.0,1006.2,0,37.2,282,2.7
